state_code,state_name,district_code,district_name,mukim_code,mukim_name,mukim_id
02,KEDAH,02,KUBANG PASU,13,PADANG PERAHU,1030000887
02,KEDAH,05,KUALA MUDA,13,SIMPOR,1030000908
02,KEDAH,02,KUBANG PASU,05,HUSBA,1030000840
02,KEDAH,01,KOTA SETAR,48,BANDAR BUKIT PINANG,1030000868
02,KEDAH,02,KUBANG PASU,11,MALAU,1030000841
02,KEDAH,08,BALING,76,PEKAN KUALA PEGANG,1030000922
02,KEDAH,08,BALING,42,BANDAR KUPANG,1030000866
02,KEDAH,05,KUALA MUDA,04,HAJI KUDONG,1030000990
02,KEDAH,09,KULIM,71,PEKAN KARANGAN,1030000853
02,KEDAH,09,KULIM,15,TERAP,1030000930
02,KEDAH,11,PENDANG,73,PEKAN TOKAI,1030000943
02,KEDAH,12,POKOK SENA,06,BUKIT LADA,1030000944
02,KEDAH,01,KOTA SETAR,50,BANDAR SIMPANG EMPAT,1030000968
02,KEDAH,01,KOTA SETAR,24,PENGKALAN KUNDOR,1030000874
02,KEDAH,11,PENDANG,74,PEKAN KOBAH,1030000963
02,KEDAH,11,PENDANG,75,PEKAN KAMPUNG BARU,1030000964
02,KEDAH,02,KUBANG PASU,45,BANDAR PADANG SERA,1030000895
02,KEDAH,02,KUBANG PASU,10,KUBANG PASU,1030000973
02,KEDAH,02,KUBANG PASU,91,PEKAN NAPOH,1030000948
02,KEDAH,02,KUBANG PASU,40,BANDAR CHANGLUN,1030000843
02,KEDAH,02,KUBANG PASU,03,BUKIT TINGGI,1030000882
02,KEDAH,02,KUBANG PASU,92,PEKAN SUNGAI KOROK,1030000949
02,KEDAH,02,KUBANG PASU,44,BANDAR DARULAMAN,1030000894
02,KEDAH,02,KUBANG PASU,12,NAGA,1030000886
02,KEDAH,02,KUBANG PASU,20,TUNJANG,1030000872
02,KEDAH,02,KUBANG PASU,81,PEKAN SANGLANG,1030000896
02,KEDAH,02,KUBANG PASU,70,PEKAN AYER HITAM,1030000844
02,KEDAH,03,PADANG TERAP,73,PEKAN BUKIT TEMBAGA,1030000951
02,KEDAH,01,KOTA SETAR,75,PEKAN GUNONG,1030000969
02,KEDAH,02,KUBANG PASU,02,BINJAL,1030000977
02,KEDAH,02,KUBANG PASU,08,JITRA,1030000885
02,KEDAH,03,PADANG TERAP,72,PEKAN LUBOK MERBAU,1030001862
02,KEDAH,03,PADANG TERAP,75,PEKAN KAMPUNG TANJUNG,1030000953
02,KEDAH,03,PADANG TERAP,10,TEKAI,1030000901
02,KEDAH,12,POKOK SENA,70,PEKAN KEBUN 500,1030000966
02,KEDAH,03,PADANG TERAP,74,PEKAN PADANG SANAI,1030000952
02,KEDAH,10,BANDAR BAHARU,73,PEKAN RELAU,1030001003
02,KEDAH,05,KUALA MUDA,51,BANDAR BANDAR AMAN JAYA,1030000956
02,KEDAH,08,BALING,80,PEKAN MALAU,1030000962
02,KEDAH,08,BALING,41,BANDAR KUALA KETIL,1030000920
02,KEDAH,03,PADANG TERAP,11,TOLAK,1030000902
02,KEDAH,04,LANGKAWI,02,BOHOR,1030000904
02,KEDAH,02,KUBANG PASU,16,PUTAT,1030000889
02,KEDAH,03,PADANG TERAP,05,KURONG HITAM,1030000974
02,KEDAH,03,PADANG TERAP,04,BELIMBING KIRI,1030000980
02,KEDAH,03,PADANG TERAP,07,PADANG TERAP KANAN,1030000846
02,KEDAH,02,KUBANG PASU,21,WANG TEPUS,1030000891
02,KEDAH,02,KUBANG PASU,06,JERAM,1030001863
