sublocality_id,state_id,state_name,sub_locality_name
285,1,JOHOR,BATU 8
286,1,JOHOR,BATU 8 1 4
287,1,JOHOR,BATU 9
288,1,JOHOR,BATU 9 1 2
289,1,JOHOR,BATU 9 5
290,1,JOHOR,BATU ANAM
291,1,JOHOR,BATU BAHAT
292,1,JOHOR,BATU HAMPAR
293,1,JOHOR,BATU LIMA
294,1,JOHOR,BATU PAAHAT
295,1,JOHOR,BATU PAHAT
296,1,JOHOR,BATU PAHAT MALL
297,1,JOHOR,BATU PAHAT OF JALAN KLUANG
298,1,JOHOR,BATU PASIR
299,1,JOHOR,BATU PUTEH
300,1,JOHOR,BATU PUTEH SIMPANG LIMA
301,1,JOHOR,BATU PUTIH
302,1,JOHOR,BATU SATU
303,1,JOHOR,BAYOU CREEK LEISURE FARM
304,1,JOHOR,BAZAR NIAGA PARIT SULONG
305,1,JOHOR,BEKOK
306,1,JOHOR,BEKOK SEGAMAT
307,1,JOHOR,BELAHAN TAMPOK
308,1,JOHOR,BELAHAN TAMPOK PARIT ABAS
309,1,JOHOR,BELAHAN TAMPOK PARIT BETAK
310,1,JOHOR,BELAKANG MASJID JAMEK
311,1,JOHOR,BELAKANG PUSAT PERNIAGAAN SUNGAI ABONG
312,1,JOHOR,BELAKANG TAMAN RAMBAH
313,1,JOHOR,BELAKANG TAMAN SURAYA
314,1,JOHOR,BELEMANG
315,1,JOHOR,BENDAHARA
316,1,JOHOR,BENDAHARAYA JAYA
317,1,JOHOR,BENTENG KIRI PESERAI
318,1,JOHOR,BENTENG LAUT
319,1,JOHOR,BENUT
320,1,JOHOR,BEREK BOMBA TANGKAK
321,1,JOHOR,BEROLEH
322,1,JOHOR,BESTARI PERDANA
323,1,JOHOR,BETENG KANAN
324,1,JOHOR,BETHANY ELDERLY HOME
325,1,JOHOR,BILIK GURU
326,1,JOHOR,BILIK PEGUAM
327,1,JOHOR,BKT JINTAN YONG PENG
328,1,JOHOR,BKT KANGKAR
329,1,JOHOR,BKT SERAMPANG LEDANG
330,1,JOHOR,BLOCK 1 SENIBONG HILLS
331,1,JOHOR,BLOCK 2 SENIBONG HILLS
332,1,JOHOR,BLOCK 3 SENIBONG HILLS
333,1,JOHOR,BLOCK D
334,1,JOHOR,BLOCK DRUMAH PANGSA
335,1,JOHOR,BLOCK GSRI GADING ESTATE
336,1,JOHOR,BLOK 15 FELDA PEMANIS 2
337,1,JOHOR,BLOK 2 FELDA AIR TAWAR 5
338,1,JOHOR,BLOK 3
339,1,JOHOR,BLOK 3 FELDA BUKIT APING BARAT
340,1,JOHOR,BLOK 4
341,1,JOHOR,BLOK 7 FELDA SENING
342,1,JOHOR,BLOK 8
343,1,JOHOR,BLOK A 2 FELDA ADELA
344,1,JOHOR,BLOK B
345,1,JOHOR,BT 1 3 4
346,1,JOHOR,BT 10 BUKIT KANGKAR
347,1,JOHOR,BT 13 1 2
348,1,JOHOR,BT 14 3 4
349,1,JOHOR,BT 16 1 2 SUNGAI TIRAM
350,1,JOHOR,BT 17
351,1,JOHOR,BT 3 1 2
352,1,JOHOR,BT 36
353,1,JOHOR,BT 4 KAMPUNG BUKIT LINTANG
354,1,JOHOR,BT 6 1 2
355,1,JOHOR,BT 8 3 4 BUKIT KANGKAR
356,1,JOHOR,BUKING NANING
357,1,JOHOR,BUKIT BAKRI
358,1,JOHOR,BUKIT BAKRI BATU 7 1 2
359,1,JOHOR,BUKIT BAKTI
360,1,JOHOR,BUKIT BANANG GOLF & COUNTRY CLUB
361,1,JOHOR,BUKIT BATU
362,1,JOHOR,BUKIT BATU BAKRI
363,1,JOHOR,BUKIT BATU SENGGARANG
364,1,JOHOR,BUKIT CHAGAR
365,1,JOHOR,BUKIT DAHLIA
366,1,JOHOR,BUKIT EASTER
367,1,JOHOR,BUKIT GAMBIR
368,1,JOHOR,BUKIT GEMILANG
369,1,JOHOR,BUKIT INDAH
370,1,JOHOR,BUKIT KANGKAR
371,1,JOHOR,BUKIT KEMPAS
372,1,JOHOR,BUKIT KEPONG
373,1,JOHOR,BUKIT KEREMOIYANG
374,1,JOHOR,BUKIT KEREMOYANG
375,1,JOHOR,BUKIT KEREMOYANG KAMPUNG FELCRA
376,1,JOHOR,BUKIT LAGUNA
377,1,JOHOR,BUKIT LAYANG LAYANG TAMAN BANDAR
378,1,JOHOR,BUKIT LINTANG KAMPUNG TENGAH
379,1,JOHOR,BUKIT MAMBAI
380,1,JOHOR,BUKIT MELDRUM
381,1,JOHOR,BUKIT MOR
382,1,JOHOR,BUKIT NANING
383,1,JOHOR,BUKIT NANING BATU 15
384,1,JOHOR,BUKIT PASIR
385,1,JOHOR,BUKIT PASIT
386,1,JOHOR,BUKIT PEDOMAN
387,1,JOHOR,BUKIT PELALI
388,1,JOHOR,BUKIT PSAIR
389,1,JOHOR,BUKIT RAHMAT
390,1,JOHOR,BUKIT RAJA
391,1,JOHOR,BUKIT SAUJANA
392,1,JOHOR,BUKIT SENIBONG
393,1,JOHOR,BUKIT SENJATA
394,1,JOHOR,BUKIT SENYUM
395,1,JOHOR,BUKIT SERAMPANG
396,1,JOHOR,BUKIT SERAMPANG ESTATE
397,1,JOHOR,BUKIT SERAMPANG LEDANG
398,1,JOHOR,BUKIT SIMPA
399,1,JOHOR,BUKIT SIPUT
400,1,JOHOR,BUKIT TREH
401,1,JOHOR,BUKIT TROPIKA
402,1,JOHOR,BUKIT TROPIKA RESIDENCE 1
403,1,JOHOR,BUKIT TROPIKA RESIDENCE 2
404,1,JOHOR,BULOH KASAP
405,1,JOHOR,BULUH KASAP
406,1,JOHOR,BUSINESS CENTRE 2 PASIR GUDANG
407,1,JOHOR,BYPASS MUAR
408,1,JOHOR,C
409,1,JOHOR,CENTRAL PALOH
410,1,JOHOR,CENTRAL VILLAGE
411,1,JOHOR,CEP NIYOR ESTATE
412,1,JOHOR,CHAAH
413,1,JOHOR,CHAMEK
414,1,JOHOR,CITY SQUARE ZONE A
